2023-04-27 21:34:40,733 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:41,250 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:41,271 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:41,479 INFO    StreamThr :7486 [internal.py:wandb_internal():86] W&B internal server running at pid: 7486, started at: 2023-04-27 21:34:41.479431
2023-04-27 21:34:41,481 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status
2023-04-27 21:34:41,488 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:41,498 INFO    WriterThread:7486 [datastore.py:open_for_write():85] open: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213441-juhz6s78/run-juhz6s78.wandb
2023-04-27 21:34:41,499 DEBUG   SenderThread:7486 [sender.py:send():375] send: header
2023-04-27 21:34:41,519 DEBUG   SenderThread:7486 [sender.py:send():375] send: run
2023-04-27 21:34:42,057 INFO    SenderThread:7486 [dir_watcher.py:__init__():219] watching files in: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213441-juhz6s78/files
2023-04-27 21:34:42,058 INFO    SenderThread:7486 [sender.py:_start_run_threads():1124] run started: juhz6s78 with start time 1682595281.482789
2023-04-27 21:34:43,256 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:45,671 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:45,744 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:46,264 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:46,284 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:46,499 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:46,541 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: keepalive
2023-04-27 21:34:47,073 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:48,271 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:50,682 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:50,753 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:51,280 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:51,297 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:51,514 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:51,557 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: keepalive
2023-04-27 21:34:52,083 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:53,288 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:55,698 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:55,767 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:56,293 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:56,310 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:56,526 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
